ip,status,bytes_sent,hour,day_of_week,is_night,is_api_call,is_admin_call,endpoint_length,is_error,is_success,is_redirect,ua_length,ua_is_missing,ua_has_bot_like_keyword,ua_has_browser_keyword,referrer_is_missing,referrer_is_internal,ml_pred,final_prediction
113.199.229.4,101,0,5,2,1,0,0,17,0,0,0,125,0,0,1,1,0,1,1
113.199.229.4,101,0,5,2,1,0,0,17,0,0,0,125,0,0,1,1,0,1,1
113.199.229.4,101,0,5,2,1,0,0,17,0,0,0,125,0,0,1,1,0,1,1
113.199.229.4,101,0,5,2,1,0,0,17,0,0,0,125,0,0,1,1,0,1,1
113.199.229.4,101,0,5,2,1,0,0,17,0,0,0,125,0,0,1,1,0,1,1
113.199.229.4,101,0,5,2,1,0,0,17,0,0,0,125,0,0,1,1,0,1,1
113.199.229.4,101,0,5,2,1,0,0,17,0,0,0,125,0,0,1,1,0,1,1
45.156.87.165,404,162,5,2,1,0,0,10,1,0,0,37,0,0,1,1,0,1,1
113.199.229.4,101,0,5,2,1,0,0,17,0,0,0,125,0,0,1,1,0,1,1
113.199.229.4,101,0,5,2,1,0,0,17,0,0,0,125,0,0,1,1,0,1,1
198.235.24.239,200,601,5,2,1,0,0,1,0,1,0,140,0,0,0,1,0,1,1
113.199.229.4,101,0,5,2,1,0,0,17,0,0,0,125,0,0,1,1,0,1,1
113.199.229.4,101,0,5,2,1,0,0,17,0,0,0,125,0,0,1,1,0,1,1
113.199.229.4,101,0,5,2,1,0,0,17,0,0,0,125,0,0,1,1,0,1,1
113.199.229.4,101,0,5,2,1,0,0,17,0,0,0,125,0,0,1,1,0,1,1
113.199.229.4,101,0,5,2,1,0,0,17,0,0,0,125,0,0,1,1,0,1,1
113.199.229.4,101,0,5,2,1,0,0,17,0,0,0,125,0,0,1,1,0,1,1
91.230.168.246,200,1309,5,2,1,0,0,1,0,1,0,78,0,0,1,1,0,1,1
113.199.229.4,101,0,5,2,1,0,0,17,0,0,0,125,0,0,1,1,0,1,1
113.199.229.4,101,0,5,2,1,0,0,17,0,0,0,125,0,0,1,1,0,1,1
8.219.222.11,301,178,6,2,0,0,0,1,0,0,1,121,0,0,1,1,0,1,1
47.237.109.59,200,601,6,2,0,0,0,1,0,1,0,121,0,0,1,1,0,1,1
8.219.222.11,301,178,6,2,0,0,0,12,0,0,1,8,0,0,0,1,0,1,1
8.219.222.11,301,178,6,2,0,0,0,12,0,0,1,8,0,0,0,1,0,1,1
8.219.222.11,301,178,6,2,0,0,0,11,0,0,1,8,0,0,0,1,0,1,1
47.237.109.59,200,57,6,2,0,0,0,11,0,1,0,8,0,0,0,1,0,1,1
47.237.109.59,200,14906,6,2,0,0,0,18,0,1,0,8,0,0,0,1,0,1,1
47.237.109.59,200,1309,6,2,0,0,0,12,0,1,0,8,0,0,0,1,0,1,1
47.237.109.59,200,17029,6,2,0,0,0,18,0,1,0,8,0,0,0,1,0,1,1
47.237.109.59,200,16066,6,2,0,0,0,18,0,1,0,8,0,0,0,1,0,1,1
8.219.222.11,200,57,6,2,0,0,0,11,0,1,0,8,0,0,0,1,0,1,1
8.219.222.11,200,1309,6,2,0,0,0,12,0,1,0,8,0,0,0,1,0,1,1
8.219.222.11,200,1525,6,2,0,0,0,12,0,1,0,8,0,0,0,1,0,1,1
8.219.222.11,200,601,6,2,0,0,0,1,0,1,0,121,0,0,1,1,0,1,1
8.219.222.11,200,1309,6,2,0,0,0,12,0,1,0,8,0,0,0,1,0,1,1
8.219.222.11,200,17029,6,2,0,0,0,18,0,1,0,8,0,0,0,1,0,1,1
8.219.222.11,200,14906,6,2,0,0,0,18,0,1,0,8,0,0,0,1,0,1,1
8.219.222.11,200,57,6,2,0,0,0,11,0,1,0,8,0,0,0,1,0,1,1
8.219.222.11,200,16066,6,2,0,0,0,18,0,1,0,8,0,0,0,1,0,1,1
113.199.229.4,200,601,6,2,0,0,0,6,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,336,6,2,0,0,0,23,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,1427,6,2,0,0,0,29,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,586,6,2,0,0,0,22,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,663820,6,2,0,0,0,33,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,18052,6,2,0,0,0,11,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,2404787,6,2,0,0,0,27,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,325914,6,2,0,0,0,59,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,102868,6,2,0,0,0,52,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,106140,6,2,0,0,0,51,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,104332,6,2,0,0,0,52,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,67,6,2,0,1,0,13,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,98868,6,2,0,0,0,54,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,980,6,2,0,0,0,14,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,206,1555953,6,2,0,0,0,46,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,206,34503,6,2,0,0,0,46,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,206,3770055,6,2,0,0,0,46,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,204,0,6,2,0,1,0,13,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,67,6,2,0,1,0,13,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,2126,6,2,0,1,0,15,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,325,6,2,0,1,0,15,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,325,6,2,0,1,0,15,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,64502,6,2,0,0,0,32,0,1,0,125,0,0,1,0,0,0,0
